Major League Baseball,,,,,
MAJOR LEAGUE BASEBALL,,,,,
POSITIONAL STRENGTH OVERVIEW BY TEAMS,,,,,
07/12/2061,,,,,
,,,,,
BNN Index | MLB | SCORES | STANDINGS | STATS | TEAMS | PLAYERS | TRANSACTIONS | HISTORY,,,,,
,,,,,
,ARIZONA DIAMONDBACKS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Mario Román,2nd,Wally Fleming,21st,2nd
First Basemen,José Martínez,25th,Juan Cisneros,13th,24th
Second Basemen,Joe Sandoval,17th,Luis Estrada,18th,18th
Third Basemen,Alfredo Vargas,7th,Azerwal Akua,29th,10th
Shortstops,Wilson Cortéz,3rd,Mauro Moreno,11th,3rd
Left Fielders,Clarence Ellis,14th,Tomás Pérez,12th,16th
Center Fielders,Ferid Negrouz,14th,Dan Turner,1st,7th
Right Fielders,José Valenzuela,23rd,Juan Hernández,31st,28th
Starting Pitchers,Phil Green,5th,Tony Mendoza,26th,24th
Relievers,Tim Knight,2nd,Myron O'Connor,6th,1st
Closers,Eugenio Pérez,12th,Daniel Padilla,28th,19th
,ATLANTA BRAVES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis Pérez,31st,Steve Anderson,26th,32nd
First Basemen,Luis López,22nd,Steve Henderson,28th,27th
Second Basemen,Takeru Mori,25th,Elvis Huber,9th,23rd
Third Basemen,Tomás Rodríguez,11th,Tim Thomas,15th,14th
Shortstops,Wes Ware,24th,Wes Rosello,18th,24th
Left Fielders,Chad Zarate,27th,Dave Kwan,6th,25th
Center Fielders,Jesús Reyes,27th,Jeff Whitaker,23rd,25th
Right Fielders,Jon Hall,11th,Dani Báez,5th,9th
Starting Pitchers,Willy Beovides,2nd,Tyrone Webb,15th,4th
Relievers,Lowik Dubbeldam,23rd,Jimmy Gilliam,17th,23rd
Closers,Lou Jenkins,19th,José Moreno,7th,15th
,BALTIMORE ORIOLES 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis Medellín,14th,Randy Reynolds,20th,17th
First Basemen,Juan Garza,2nd,Arturo Martínez,21st,3rd
Second Basemen,José Rodríguez,18th,Ánibal Ángel,4th,13th
Third Basemen,Dave Miller,25th,José Ramos,11th,22nd
Shortstops,Ken Stokes,5th,Dave Rodríguez,21st,5th
Left Fielders,Woo-jong Lee,20th,Dan Miller,4th,19th
Center Fielders,Phil Phillips,30th,Stu Davie,16th,29th
Right Fielders,Sancho Hernández,21st,Irving Shelton,12th,20th
Starting Pitchers,Robbie Harmon,10th,Joe Lucas,26th (tied),27th
Relievers,Steve Perry,13th,Doug Singleton,4th,10th
Closers,Billy Clark,32nd,Arturo Chacón,16th,31st
,BOSTON RED SOX 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,José Quintero,20th,Monte Sullivan,6th,16th
First Basemen,Benny Hill,32nd,Jim Elder,9th,32nd
Second Basemen,Walt Fletcher,8th,Jonathan Adams,22nd,10th
Third Basemen,Rod Davis,17th,Jorge Zamora,7th,12th
Shortstops,Steve Lambert,8th,Ignacio Carmona,1st,5th (tied)
Left Fielders,Miguel Angel Chávez,24th,Jeff Williams,29th,26th
Center Fielders,Juan Méndez,9th,Rob Griffin,27th,11th
Right Fielders,Dave Ward,9th,Rob Osborne,6th,5th
Starting Pitchers,Alvin Utpadel,21st,Eric Petty,6th,7th
Relievers,Anastasio Vélez,7th,Dave James,1st,4th
Closers,Bob Lawson,15th,Zach Wilson,26th,18th
,CHICAGO WHITE SOX 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Ignat Palmihin,7th,José Montoya,18th,7th
First Basemen,Robby White,8th,Steffen Hudson,3rd,5th
Second Basemen,Derek Hendrickson,31st,Rory Murdock,23rd,31st
Third Basemen,José Sandoval,27th,Leon Ball,12th,27th
Shortstops,Paora Leonani,17th,Juan Reyes,23rd,19th
Left Fielders,Andy Collins,31st,Dave Knight,27th,32nd
Center Fielders,Andy Davis,25th,Tony Gómez,32nd,27th
Right Fielders,Tad Hayden,17th,Joe Lindsay,1st,10th
Starting Pitchers,César Muñóz,26th,Luis Peña,16th,19th
Relievers,Bob Mitchell,20th,José Rojas,30th,22nd
Closers,Jim Evans,27th,Chet Thompson,32nd,32nd
,CHICAGO CUBS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Norm Jones,26th,Jorge Hernández,2nd,21st
First Basemen,Lou Laity,7th,Robinson Gonzáles,22nd,10th
Second Basemen,Cisco Sosa,27th,Iván García,17th,27th
Third Basemen,Kwang-sik Choi,3rd,Ben Daniels,19th,3rd
Shortstops,José Rodríguez,22nd,Naoya Nakashima,28th,22nd
Left Fielders,Ron Dwyer,29th,Monty Conley,25th,28th
Center Fielders,Rex Greene,31st,Sam Graham,26th,32nd
Right Fielders,Chuck Turner,21st (tied),Tomás Medina,3rd,16th
Starting Pitchers,Al Allen,32nd,Al Allen,19th,25th
Relievers,Terence Cook,24th,Walt Raymond,15th,24th
Closers,José Moreno,11th,Jimmy White,10th,11th
,CINCINNATI REDS 07/12/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Orlando Ortíz,21st,Ragnvard Thomassen,30th,23rd
First Basemen,Doug Riverwallderson,5th,José Mejía,18th,4th
Second Basemen,Jon Schmidt,5th,Ed Jones,30th,7th
Third Basemen,Tim Cunningham,15th,Mario Escobar,10th,11th
Shortstops,Joel Dowsett,12th,Chad Howard,12th,11th
Left Fielders,Kevin Dixon,1st,Gabe Green,30th,1st
Center Fielders,Cristo López,11th,Oliver Campos,7th,9th
